76011002,76011002
76021021,"Coelho Neto, Duque Bacelar  [Municipality: Brazil]",,,,
76021022,76021022,,"Centro do Guilherme, Maracaçumé, Amapá do Maranhão, Luís Domingues, Godofredo Viana  [Municipality:",,
"",,,Brazil],,
76021023,"São Vicente Ferrer, Olinda Nova do Maranhão, São João Batista  [Municipality: Brazil]",,,,
"",76021024,,,"João Lisboa, Senador La Rocque, Buritirana  [Municipality: Brazil]",
76021025,"Bom Jardim, São João do Carú  [Municipality: Brazil]",,,,
"",76021026,,,Vargem Grande  [Municipality: Brazil],
76021027,Viana  [Municipality: Brazil],,,,
"",76021028,,,"São Benedito do Rio Preto, Urbano Santos, Belágua  [Municipality: Brazil]",
76021029,"Tuntum, Santa Filomena do Maranhão  [Municipality: Brazil]",,,,
"",76021030,,,"Campestre do Maranhão, Porto Franco, São João do Paraíso  [Municipality: Brazil]",
76021031,"Brejo, Milagres do Maranhão  [Municipality: Brazil]",,,,
"",76021032,,,"São Domingos do Maranhão, Governador Luiz Rocha  [Municipality: Brazil]",
76021033,São Bento  [Municipality: Brazil],,,,
"",76021034,,,Santa Helena  [Municipality: Brazil],
76021035,"Presidente Juscelino, Cachoeira Grande, Morros  [Municipality: Brazil]",,,,
"",76021036,,,São Mateus do Maranhão  [Municipality: Brazil],
76021037,Amarante do Maranhão  [Municipality: Brazil],,,,
"",76021038,,,"Cajapió, Bacurituba, Alcântara  [Municipality: Brazil]",
76021039,Parnarama  [Municipality: Brazil],,,,
"",76021040,,,"Matões do Norte, Cantanhede  [Municipality: Brazil]",
76021041,"Mirinzal, Central do Maranhão, Guimarães  [Municipality: Brazil]",,,,
"",76021042,,,Penalva  [Municipality: Brazil],
76021043,"Loreto, São Félix de Balsas, Benedito Leite, São Domingos do Azeitão, Nova Iorque  [Municipality: Brazil]",,,,
"",76021044,,,"Palmeirândia, Peri Mirim  [Municipality: Brazil]",
76021045,Santa Rita  [Municipality: Brazil],,,,
"",76021046,,,"Barão de Grajaú, São Francisco do Maranhão  [Municipality: Brazil]",
76021047,Matões  [Municipality: Brazil],,,,
"",76021048,,,"São João dos Patos, Sucupira do Riachão  [Municipality: Brazil]",
76021049,"Aldeias Altas, Afonso Cunha  [Municipality: Brazil]",,,,
"",76021050,,,"Primeira Cruz, Santo Amaro do Maranhão  [Municipality: Brazil]",
76021051,Santa Quitéria do Maranhão  [Municipality: Brazil],,,,
"",76021052,,,"Sucupira do Norte, Pastos Bons  [Municipality: Brazil]",
76021053,"Mata Roma, Anapurus  [Municipality: Brazil]",,,,
"",76021054,,,Arari  [Municipality: Brazil],
76021055,"Riachão, Feira Nova do Maranhão  [Municipality: Brazil]",,,,
"",76021056,,,"Passagem Franca, Lagoa do Mato  [Municipality: Brazil]",
76021057,Humberto de Campos  [Municipality: Brazil],,,,
"",76021058,,,Buriti  [Municipality: Brazil],
76021059,Anajatuba  [Municipality: Brazil],,,,
"",76021060,,,Icatu  [Municipality: Brazil],
76021061,Buriti Bravo  [Municipality: Brazil],,,,
"",76021062,,,"Alto Parnaíba, Tasso Fragoso, Sambaíba  [Municipality: Brazil]",
76021063,"Ribamar Fiquene, Montes Altos, Lajeado Novo  [Municipality: Brazil]",,,,
"",76021064,,,"Presidente Vargas, Nina Rodrigues  [Municipality: Brazil]",
76021065,Matinha  [Municipality: Brazil],,,,
"",76021066,,,Bequimão  [Municipality: Brazil],
76022001,"Teresina, Nazária  [Municipality: Brazil]"
76022002,"Arraial, Oeiras, Cajazeiras do Piauí, Tanque do Piauí, Santa Rosa do Piauí, Colônia do Piauí, Francinópolis,"
"","Santo Inácio do Piauí, Campinas do Piauí, São João da Varjota, Wall Ferraz, Santa Cruz do Piauí, Floresta do"
"","Piauí, Paquetá, Isaías Coelho, Picos, Vera Mendes, Itainópolis, Santana do Piauí, Geminiano, Sussuapara,"
"",Aroeiras do Itaim  [Municipality: Brazil]
76022003,"Batalha, Capitão de Campos, Piripiri, São José do Divino, Brasileira, Piracuruca, Milton Brandão, Pedro II,"
"","Lagoa de São Francisco, Domingos Mourão, São João da Fronteira  [Municipality: Brazil]"
76022004,"Parnaíba, Ilha Grande, Bom Princípio do Piauí, Luís Correia, Cajueiro da Praia  [Municipality: Brazil]"
76022005,"Queimada Nova, Patos do Piauí, Jacobina do Piauí, Paulistana, Jaicós, Massapê do Piauí, Campo Grande do"
"","Piauí, Acauã, Caridade do Piauí, Betânia do Piauí, Simões, Curral Novo do Piauí  [Municipality: Brazil]"
76022006,"Jurema, Anísio de Abreu, São Braz do Piauí, Várzea Branca, Bonfim do Piauí, São Raimundo Nonato, Fartura"
"","do Piauí, Dirceu Arcoverde, São Lourenço do Piauí, Coronel José Dias, Dom Inocêncio  [Municipality: Brazil]"
76022007,"Campo Maior, Nossa Senhora de Nazaré, Boqueirão do Piauí, Jatobá do Piauí, Cocal de Telha, Sigefredo"
"",Pacheco  [Municipality: Brazil]
76022008,"Barras, Cabeceiras do Piauí, Boa Hora  [Municipality: Brazil]"
76022009,"Nazaré do Piauí, São José do Peixe, Francisco Ayres, São Francisco do Piauí, Socorro do Piauí, São Miguel"
"","do Fidalgo, Paes Landim, Simplício Mendes, Bela Vista do Piauí, Conceição do Canindé, São Francisco de"
"",Assis do Piauí  [Municipality: Brazil]
76022010,Floriano  [Municipality: Brazil]
76022011,"Gilbués, Monte Alegre do Piauí, Bom Jesus, Currais, Redenção do Gurguéia  [Municipality: Brazil]"
76022012,"Matias Olímpio, Madeiro, Luzilândia, São João do Arraial, Joca Marques  [Municipality: Brazil]"
76022013,"Demerval Lobão, Lagoa do Piauí, Beneditinos, Passagem Franca do Piauí, Elesbão Veloso, São Miguel da"
"","Baixa Grande, São Félix do Piauí, Prata do Piauí  [Municipality: Brazil]"
